"","sex","id","loop_nr","prey","territory","lat.nest","lon.nest","maxdist.loop","loop_quality","meandist.loop","mediandist.loop"
"1","f","A101f","0","mole","A101",46.1221,7.12417,550.38,1,159.389615384615,118.43
"2","f","A101f","1","mole","A101",46.1221,7.12417,580.52,2,433.45380952381,550.47
"3","f","A101f","2","larvae","A101",46.1221,7.12417,252.32,2,158.049361702128,189.11
"4","f","A101f","3","mole","A101",46.1221,7.12417,344.07,2,184.452727272727,206.91
"5","f","A101f","4","mole","A101",46.1221,7.12417,276.95,2,192.686,227.97
"6","f","A101f","5","mole","A101",46.1221,7.12417,301.38,2,164.133968253968,191.68
"7","f","A101f","6","mole","A101",46.1221,7.12417,337.41,2,192.805588235294,183.585
"8","f","A101f","7","mole","A101",46.1221,7.12417,346.9,2,234.0825,235.58
"9","f","A101f","8","mole","A101",46.1221,7.12417,327.61,2,222.076363636364,221.44
"10","f","A101f","9","mole","A101",46.1221,7.12417,252.2,2,174.989166666667,178.66
"11","f","A101f","10","mole","A101",46.1221,7.12417,242.71,2,152.569375,140.325
"12","f","A101f","11","mole","A101",46.1221,7.12417,277.52,2,193.972391304348,182.65
"13","f","A128f","0",NA,"A128",46.15635,7.20168,1947.01,1,733.887808219178,472.89
"14","f","A128f","1",NA,"A128",46.15635,7.20168,375.46,2,280.980769230769,340.52
"15","f","A128f","2","larvae","A128",46.15635,7.20168,4745.45,2,2566.30446428571,3004.79
"16","f","A128f","3",NA,"A128",46.15635,7.20168,514.17,2,285.6496,362.23
"17","f","A128f","4","mole","A128",46.15635,7.20168,49.28,2,15.4555555555556,11.64
"18","f","A128f","5","larvae","A128",46.15635,7.20168,105.47,2,38.6309090909091,24.845
"19","f","A128f","6","larvae","A128",46.15635,7.20168,259.25,2,148.221153846154,145.025
"20","f","A128f","7","mole","A128",46.15635,7.20168,257.39,2,108.73,68.84
"21","f","A128f","8","mole","A128",46.15635,7.20168,265.45,2,108.916,20.42
"22","f","A128f","9","mole","A128",46.15635,7.20168,247.42,2,143.702,215.56
"23","f","A128f","10","mole","A128",46.15635,7.20168,273.66,2,175.296,235.635
"24","f","A128f","11","mole","A128",46.15635,7.20168,247.55,2,97.205,68.545
"25","f","A128f","12","mole","A128",46.15635,7.20168,275.71,2,174.331176470588,247.43
"26","f","A128f","13","mole","A128",46.15635,7.20168,22.05,2,16.25,13.5
"27","f","A128f","14","mole","A128",46.15635,7.20168,288.42,2,138.519523809524,93.57
"28","f","A128f","15","mole","A128",46.15635,7.20168,278.54,2,188.525,237.35
"29","f","A128f","16","mole","A128",46.15635,7.20168,390.03,2,267.480769230769,331.01
"30","f","A128f","17","mole","A128",46.15635,7.20168,236.22,2,128.40125,128.475
"31","f","A128f","18","mole","A128",46.15635,7.20168,401.69,2,299.968846153846,339.535
"32","f","A128f","19","mole","A128",46.15635,7.20168,311.2,2,184.529545454545,230.855
"33","f","A128f","20","mole","A128",46.15635,7.20168,525.22,2,367.384545454545,459.56
"34","f","A128f","21","larvae","A128",46.15635,7.20168,282.89,2,134.091428571429,178.365
"35","f","A128f","22","larvae","A128",46.15635,7.20168,106.49,2,41.8483333333333,32.555
"36","f","A128f","23","mole","A128",46.15635,7.20168,158.92,2,97.7730434782609,90.51
"37","f","A128f","24","larvae","A128",46.15635,7.20168,276.62,2,151.527619047619,207.2
"38","f","A128f","25","mole","A128",46.15635,7.20168,178.67,2,100.383846153846,122.53
"39","f","A12f","0",NA,"A12",46.1241,7.1054,198.07,1,68.8344444444444,51.015
"40","f","A12f","1",NA,"A12",46.1241,7.1054,30.75,1,15.432,13.31
"41","f","A12f","2",NA,"A12",46.1241,7.1054,88.24,1,61.0030769230769,71.32
"42","f","A12f","3",NA,"A12",46.1241,7.1054,93.46,1,48.1534285714286,42.21
"43","f","A12f","4",NA,"A12",46.1241,7.1054,334.59,1,76.698813559322,53.63
"44","f","A12f","5",NA,"A12",46.1241,7.1054,47.9,1,36.9033333333333,37.08
"45","f","A12f","6",NA,"A12",46.1241,7.1054,40.54,1,21.6072727272727,19.74
"46","f","A12f","7","larvae","A12",46.1241,7.1054,75.53,1,50.6775,61.635
"47","f","A12f","8",NA,"A12",46.1241,7.1054,72.79,1,35.3888888888889,22.8
"48","f","A12f","9",NA,"A12",46.1241,7.1054,61.55,1,32.7766666666667,27.63
"49","f","A12f","10",NA,"A12",46.1241,7.1054,53.1,1,33.5833333333333,31.44
"50","f","A12f","11",NA,"A12",46.1241,7.1054,52.14,1,32.066,34.62
"51","f","A12f","12",NA,"A12",46.1241,7.1054,52.15,1,32.786,32.51
"52","f","A12f","13",NA,"A12",46.1241,7.1054,39.26,1,19.576,10.48
"53","f","A12f","14",NA,"A12",46.1241,7.1054,41.62,1,25.84625,28.77
"54","f","A12f","15",NA,"A12",46.1241,7.1054,58.63,1,36.845,42.4
"55","f","A12f","16",NA,"A12",46.1241,7.1054,33.91,1,23.7585714285714,30.83
"56","f","A12f","17","mole","A12",46.1241,7.1054,54.39,1,30.391,29.845
"57","f","A12f","18",NA,"A12",46.1241,7.1054,33.68,1,25.33,26.395
"58","f","A12f","19",NA,"A12",46.1241,7.1054,81.09,1,37.1716666666667,35.8
"59","f","A12f","20",NA,"A12",46.1241,7.1054,64.25,1,44.4883333333333,42.02
"60","f","A12f","21",NA,"A12",46.1241,7.1054,34.61,1,27.625,27.625
"61","f","A12f","22",NA,"A12",46.1241,7.1054,75.61,1,42.5766666666667,38.675
